colonia_id,colonia,cp,seccion,demarcacion,traslape_pct
1,17 DE MARZO,68018,0616,Trinidad de Viguera,100.0
2,21 DE MARZO,68018,0616,Trinidad de Viguera,100.0
3,9 DE MAYO,68018,0471,Pueblo Nuevo,100.0
4,ADOLFO LOPEZ MATEOS,68030,0523,Cabecera Municipal,100.0
5,ALAMOS,68036,2481,Montoya,100.0
6,ALEMAN 2A SECCION,68010,0501,Santa Rosa Panzacola,89.5
6,ALEMAN 2A SECCION,68010,0523,Cabecera Municipal,10.5
7,AMERICA NORTE,68050,0552,Cabecera Municipal,100.0
8,AMERICA SUR,68050,0553,Cabecera Municipal,100.0
9,AMPLIACION  PUEBLO NUEVO PARTE ALTA,68018,0616,Trinidad de Viguera,100.0
10,AMPLIACION 7 REGIONES,68023,0493,Cabecera Municipal,100.0
11,AMPLIACION DOLORES,68020,0495,Dolores,71.2
11,AMPLIACION DOLORES,68020,0514,Dolores,28.8
12,AMPLIACION JARDIN,68023,0493,Cabecera Municipal,100.0
13,AMPLIACION MOCTEZUMA,68140,0578,San Martín Mexicapam de Cárdenas,62.6
13,AMPLIACION MOCTEZUMA,68140,0579,San Martín Mexicapam de Cárdenas,37.4
14,AMPLIACION SAN JUAN,68157,0593,San Juan Chapultepec,100.0
15,ARBOLEDA,68157,0590,Cabecera Municipal,95.6
15,ARBOLEDA,68157,0582,Cabecera Municipal,4.4
16,ARBOLEDA BRENAMIEL,68018,0472,Pueblo Nuevo,100.0
17,ARBOLEDAS,68010,0540,Cabecera Municipal,100.0
18,ARBOLEDAS DEL VALLE,68140,0580,San Martín Mexicapam de Cárdenas,100.0
19,ARROYO,68090,0576,San Martín Mexicapam de Cárdenas,100.0
20,ARTICULO 123,68090,0582,Cabecera Municipal,100.0
21,ARTICULO 123,68115,0588,Cabecera Municipal,100.0
22,AURORA,68045,0521,Cabecera Municipal,100.0
23,AZUCENAS,68070,0557,Cabecera Municipal,86.0
23,AZUCENAS,68070,0546,Cabecera Municipal,14.0
24,AZUCENAS,68036,0560,San Martín Mexicapam de Cárdenas,65.7
24,AZUCENAS,68036,2480,Montoya,32.7
25,BENITO JUAREZ,68030,0522,Cabecera Municipal,83.2
25,BENITO JUAREZ,68030,0526,Cabecera Municipal,16.8
26,BENITO JUAREZ,68110,0586,Cabecera Municipal,100.0
27,BOSQUES DE SAN LUIS,68059,0477,Donají,100.0
28,BUENA VISTA,68010,0474,Santa Rosa Panzacola,100.0
29,BUENA VISTA,68018,0616,Trinidad de Viguera,100.0
30,BUGAMBILIAS,68010,2478,Santa Rosa Panzacola,65.4
30,BUGAMBILIAS,68010,0486,Santa Rosa Panzacola,34.6
31,BUGAMBILIAS,68010,0483,Santa Rosa Panzacola,77.5
31,BUGAMBILIAS,68010,0485,Santa Rosa Panzacola,22.5
32,CALIFORNIA,68157,0592,San Juan Chapultepec,100.0
33,CAMINO NACIONAL,68080,0570,Cabecera Municipal,100.0
34,CANDIANI,68130,0615,Candiani,34.2
34,CANDIANI,68130,0610,Cinco Señores,23.5
34,CANDIANI,68130,0613,Candiani,15.8
34,CANDIANI,68130,0614,Candiani,14.2
34,CANDIANI,68130,0611,Candiani,12.4
35,CASA BLANCA,68140,0564,San Martín Mexicapam de Cárdenas,100.0
36,CASA DEL SOL,68020,0478,San Luis Beltrán,100.0
37,CENTENARIO,68050,0500,Cabecera Municipal,100.0
38,CENTRAL DE ABASTO,68090,0581,Cabecera Municipal,100.0
39,CENTRO,68000,0573,Cabecera Municipal,11.2
39,CENTRO,68000,0572,Cabecera Municipal,11.1
39,CENTRO,68000,0555,Cabecera Municipal,10.7
39,CENTRO,68000,0583,Cabecera Municipal,9.7
39,CENTRO,68000,0589,Cabecera Municipal,7.6
39,CENTRO,68000,0556,Cabecera Municipal,5.6
39,CENTRO,68000,0548,Cabecera Municipal,5.4
39,CENTRO,68000,0568,Cabecera Municipal,5.2
39,CENTRO,68000,0571,Cabecera Municipal,5.1
39,CENTRO,68000,0584,Cabecera Municipal,4.9
39,CENTRO,68000,0574,Cabecera Municipal,4.0
39,CENTRO,68000,0590,Cabecera Municipal,3.9
39,CENTRO,68000,0549,Cabecera Municipal,3.3
39,CENTRO,68000,0582,Cabecera Municipal,3.3
39,CENTRO,68000,0585,Cabecera Municipal,3.2
40,CINCO SEÑORES,68120,0609,Cinco Señores,55.4
40,CINCO SEÑORES,68120,0601,Cinco Señores,22.9
40,CINCO SEÑORES,68120,0602,Cinco Señores,21.7
41,COLINAS DE LA SOLEDAD,68050,0489,Cabecera Municipal,100.0
42,COLINAS DE MONTEALBAN,68140,0580,San Martín Mexicapam de Cárdenas,54.8
42,COLINAS DE MONTEALBAN,68140,0577,San Martín Mexicapam de Cárdenas,22.8
42,COLINAS DE MONTEALBAN,68140,0579,San Martín Mexicapam de Cárdenas,11.4
42,COLINAS DE MONTEALBAN,68140,0594,San Juan Chapultepec,11.0
43,CONGREGACION MONTOYA,68036,0524,Montoya,95.5
43,CONGREGACION MONTOYA,68036,0542,Montoya,4.5
44,CONSTITUYENTES,68018,0471,Pueblo Nuevo,100.0
45,CONSUELO RUIZ,68020,0480,San Felipe del Agua,100.0
46,CUAUHTEMOC,68010,0506,Santa Rosa Panzacola,52.0
46,CUAUHTEMOC,68010,0503,Santa Rosa Panzacola,48.0
47,DAMNIFICADOS,68020,0510,Cabecera Municipal,100.0
